MemberKey,Name,Phone,Email,BankAcc
jinping, 习近平, +86 711-1246-0114, jinping@qq.com, 00-777-88
jinping2, 习近平, 07111246-0114, jinping@qq.com, 00-777-88
jinping3, 习近平, 711.12460114, jinping@qq.com, 00-888-99
loudmouth, 特朗普, 012345698765, trump_1@qq.com, 81983479-99
loudmouth2, 特朗普, +86-123-4569-8765, trump_rus@qq.com, 81983479-99
loudmouth3, 特朗普, 01234-5698765, trump_usa@qq.com, 6667778888
putin, 普京, +86 300 0777 1000, putin@qq.com, 567-98765
putin2, 普京, 300 0777 1000, putin@qq.com, 00-23456
putin3, 普京, +86 711-1246-0114, putin@qq.com, 77-778899
alibaba, 马云, +86 888-9999-0000, ali88@qq.com, 1234545
mahathir, mahathir, +86 345-1234-1313, mahathir@qq.com, 0098765
